Case 1: wavelength 355nm
Number of data points: 1005 
(Pressure,  temperature, dewpoint, particle extinction coefficient (1/m),lidar ratio (sr), depolarization ratio, altitude (m))



   798.50  -12.09  -20.40 .8400E-03   28.00   .00   1867.50


   796.93  -12.19  -20.49 .8400E-03   28.00   .00   1882.50


   795.37  -12.29  -20.58 .8400E-03   28.00   .00   1897.50


   793.81  -12.38  -20.67 .8400E-03   28.00   .00   1912.50


   792.25  -12.48  -20.76 .8400E-03   28.00   .00   1927.50


   790.69  -12.58  -20.85 .8400E-03   28.00   .00   1942.50


   789.14  -12.67  -20.94 .8400E-03   28.00   .00   1957.50


   787.59  -12.77  -21.04 .8400E-03   28.00   .00   1972.50


   786.04  -12.87  -21.13 .8400E-03   28.00   .00   1987.50


   784.49  -12.97  -21.22 .5800E-03   28.00   .00   2002.50


   782.95  -13.07  -21.31 .5800E-03   28.00   .00   2017.50


   781.41  -13.16  -21.40 .5800E-03   28.00   .00   2032.50


   779.87  -13.26  -21.49 .5800E-03   28.00   .00   2047.50


   778.33  -13.36  -21.58 .5800E-03   28.00   .00   2062.50


   776.80  -13.45  -21.67 .5800E-03   28.00   .00   2077.50


   775.26  -13.55  -21.76 .5800E-03   28.00   .00   2092.50


   773.73  -13.65  -21.85 .5800E-03   28.00   .00   2107.50


   772.21  -13.75  -21.94 .5800E-03   28.00   .00   2122.50


   770.68  -13.85  -22.03 .5800E-03   28.00   .00   2137.50


   769.16  -13.94  -22.12 .5800E-03   28.00   .00   2152.50


   767.64  -14.04  -22.21 .5800E-03   28.00   .00   2167.50


   766.13  -14.14  -22.31 .5800E-03   28.00   .00   2182.50


   764.61  -14.24  -22.40 .5800E-03   28.00   .00   2197.50


   763.10  -14.33  -22.49 .5800E-03   28.00   .00   2212.50


   761.59  -14.43  -22.58 .5800E-03   28.00   .00   2227.50


   760.08  -14.53  -22.67 .5800E-03   28.00   .00   2242.50


   758.58  -14.63  -59.70 .2400E-03   28.00   .00   2257.50


   757.07  -14.72  -59.76 .2400E-03   28.00   .00   2272.50


