Altitude(m)	beta_aerosol(m^-1 sr^-1)	beta_molecular(m^-1 sr^-1)
1322.44842	8.34183035828e-07	1.32541828748e-06
1329.91988	8.15483748262e-07	1.32443858335e-06
1337.39134	8.4252440075e-07	1.32345943333e-06
1344.8628	8.25442264717e-07	1.32248083721e-06
1352.33426	8.24763401707e-07	1.32150279476e-06
1359.80572	8.40471899087e-07	1.32052530578e-06
1367.27718	8.10306997879e-07	1.31954837004e-06
1374.74864	8.32187578195e-07	1.31857198733e-06
1382.2201	8.01097580879e-07	1.31759615743e-06
1389.69156	8.06578849216e-07	1.31662088012e-06
1397.16302	8.14651065988e-07	1.31564615519e-06
1404.63448	8.03161610062e-07	1.31467198242e-06
1412.10594	7.84353868162e-07	1.3136983616e-06
1419.5774	7.94687586768e-07	1.31272529249e-06
1427.04886	7.95365187342e-07	1.3117527749e-06
1434.52032	8.10200199113e-07	1.31078080861e-06
1441.99178	8.03211654931e-07	1.30980939338e-06
1449.46324	8.01156849152e-07	1.30883852902e-06
1456.9347	7.91133790343e-07	1.30786821531e-06
1464.40616	7.72115265565e-07	1.30689845201e-06
1471.87762	7.54721858174e-07	1.30592923894e-06
1479.34908	7.49908737754e-07	1.30496057585e-06
1486.82054	7.95674013961e-07	1.30399246254e-06
1494.292	8.12117101889e-07	1.3030248988e-06
1501.76346	7.68044487203e-07	1.3020578844e-06
1509.23492	7.71261606387e-07	1.30109141913e-06
1516.70638	7.6877973935e-07	1.30012550277e-06
1524.17784	7.88588215229e-07	1.29916013511e-06
1531.6493	7.94591206415e-07	1.29819531593e-06
1539.12076	8.13408004752e-07	1.29723104502e-06
1546.59222	7.94498795192e-07	1.29626732216e-06
1554.06368	8.19745066325e-07	1.29530414713e-06
1561.53514	7.88982846554e-07	1.29434151972e-06
1569.0066	8.40815227207e-07	1.29337943971e-06
1576.47806	8.08612357313e-07	1.29241790689e-06
1583.94952	8.61433685155e-07	1.29145692103e-06
1591.42098	8.72695338819e-07	1.29049648194e-06
1598.89244	8.76878366521e-07	1.28953658938e-06
1606.3639	8.69856733416e-07	1.28857724315e-06
1613.83536	8.82973842477e-07	1.28761844302e-06
1621.30682	9.00210570961e-07	1.28666018879e-06
1628.77828	8.87251779689e-07	1.28570248023e-06
1636.24974	8.72517864374e-07	1.28474531714e-06
1643.7212	9.13554480453e-07	1.2837886993e-06
1651.19266	9.1907053322e-07	1.28283262648e-06
1658.66412	9.45285165991e-07	1.28187709849e-06
1666.13558	9.38957113624e-07	1.28092211509e-06
1673.60704	9.40898281828e-07	1.27996767608e-06
1681.0785	8.78574890095e-07	1.27901378124e-06
1688.54996	9.56039720752e-07	1.27806043036e-06
1696.02142	9.54751763953e-07	1.27710762322e-06
1703.49288	9.38339448962e-07	1.27615535961e-06
1710.96434	9.27022316325e-07	1.27520363931e-06
1718.4358	9.96293014761e-07	1.2742524621e-06
1725.90726	9.7674956986e-07	1.27330182778e-06
1733.37872	9.41787026515e-07	1.27235173612e-06
1740.85018	9.81084568505e-07	1.27140218692e-06
1748.32164	9.54273875223e-07	1.27045317995e-06
1755.7931	9.16452876306e-07	1.26950471501e-06
1763.26456	9.32000307458e-07	1.26855679187e-06
1770.73602	9.51483113376e-07	1.26760941033e-06
1778.20748	9.86156287602e-07	1.26666257017e-06
1785.67894	9.70416535838e-07	1.26571627118e-06
1793.1504	9.57611013147e-07	1.26477051313e-06
1800.62186	9.24696222537e-07	1.26382529583e-06
1808.09332	9.40676297432e-07	1.26288061904e-06
1815.56478	9.18552551487e-07	1.26193648256e-06
1823.03624	9.35430528482e-07	1.26099288618e-06
1830.5077	9.14023776128e-07	1.26004982968e-06
1837.97916	8.99162673738e-07	1.25910731284e-06
1845.45062	9.49230429425e-07	1.25816533546e-06
1852.92208	8.93532609114e-07	1.25722389731e-06
1860.39354	8.51611429373e-07	1.25628299819e-06
1867.865	8.44577149912e-07	1.25534263788e-06
1875.33646	8.19675433948e-07	1.25440281616e-06
1882.80792	8.26690210426e-07	1.25346353283e-06
1890.27938	7.87397466464e-07	1.25252478767e-06
1897.75084	8.00951714186e-07	1.25158658046e-06
1905.2223	7.65364308585e-07	1.25064891099e-06
1912.69376	7.74103005085e-07	1.24971177905e-06
1920.16522	7.02818387762e-07	1.24877518442e-06
1927.63668	7.02036519866e-07	1.2478391269e-06
1935.10814	6.73639829758e-07	1.24690360626e-06
1942.5796	6.2168769262e-07	1.2459686223e-06
1950.05106	6.25410639114e-07	1.2450341748e-06
1957.52252	5.57668723136e-07	1.24410026354e-06
1964.99398	4.83900688514e-07	1.24316688832e-06
1972.46544	5.09092482146e-07	1.24223404892e-06
1979.9369	4.67623406339e-07	1.24130174513e-06
1987.40836	4.30576316392e-07	1.24036997673e-06
1994.87982	3.75714306643e-07	1.23943874352e-06
2002.35128	3.95195462636e-07	1.23850804527e-06
2009.82274	3.73942890153e-07	1.23757788178e-06
2017.2942	3.50028522115e-07	1.23664825283e-06
2024.76566	2.90466715173e-07	1.23571915821e-06
2032.23712	2.64800719166e-07	1.2347905977e-06
2039.70858	2.63250882641e-07	1.2338625711e-06
2047.18004	2.73813284275e-07	1.2329350782e-06
2054.6515	2.3839014624e-07	1.23200811877e-06
2062.12296	2.31023076823e-07	1.2310816926e-06
2069.59442	2.23719498057e-07	1.23015579949e-06
2077.06588	1.92463437705e-07	1.22923043923e-06
2084.53734	1.77248931209e-07	1.22830561159e-06
2092.0088	1.20474715165e-07	1.22738131636e-06
2099.48026	1.59924701075e-07	1.22645755334e-06
2106.95172	1.56407125679e-07	1.22553432231e-06
2114.42318	1.49340285595e-07	1.22461162306e-06
2121.89464	1.56289814096e-07	1.22368945537e-06
2129.3661	1.44768221727e-07	1.22276781904e-06
2136.83756	1.54291038501e-07	1.22184671385e-06
2144.30902	1.28121135632e-07	1.2209261396e-06
2151.78048	1.4019887416e-07	1.22000609606e-06
2159.25194	1.51994270385e-07	1.21908658302e-06
2166.7234	7.88082751096e-08	1.21816760028e-06
2174.19486	1.04313389587e-07	1.21724914762e-06
2181.66632	1.37644428914e-07	1.21633122483e-06
2189.13778	1.77887862216e-07	1.2154138317e-06
2196.60924	1.34051735572e-07	1.21449696802e-06
2204.0807	1.26515355052e-07	1.21358063357e-06
2211.55216	1.18753323496e-07	1.21266482814e-06
2219.02362	1.18210348997e-07	1.21174955153e-06
2226.49508	9.61803538971e-08	1.21083480351e-06
2233.96654	1.33361239754e-07	1.20992058388e-06
2241.438	1.17389903787e-07	1.20900689243e-06
2248.90946	1.36671229355e-07	1.20809372895e-06
2256.38092	1.26069407999e-07	1.20718109321e-06
2263.85238	1.48966305348e-07	1.20626898502e-06
2271.32384	1.40836137744e-07	1.20535740417e-06
2278.7953	1.27758867392e-07	1.20444635043e-06
2286.26676	1.19930376453e-07	1.2035358236e-06
2293.73822	1.36210134309e-07	1.20262582346e-06
2301.20968	1.56639721897e-07	1.20171634982e-06
2308.68114	1.17036460819e-07	1.20080740244e-06
2316.1526	1.77674878757e-07	1.19989898114e-06
2323.62406	1.54288386983e-07	1.19899108568e-06
2331.09552	1.52731081708e-07	1.19808371587e-06
2338.56698	1.4772837137e-07	1.19717687149e-06
2346.03844	1.34194349941e-07	1.19627055232e-06
2353.5099	1.54866183851e-07	1.19536475817e-06
2360.98136	1.9309895076e-07	1.19445948882e-06
2368.45282	1.66124760192e-07	1.19355474405e-06
2375.92428	1.79862436619e-07	1.19265052367e-06
2383.39574	1.70802489801e-07	1.19174682745e-06
2390.8672	2.18473838971e-07	1.19084365518e-06
2398.33866	1.93196127133e-07	1.18994100666e-06
2405.81012	1.54686432757e-07	1.18903888168e-06
2413.28158	1.90024843522e-07	1.18813728002e-06
2420.75304	1.65073410258e-07	1.18723620147e-06
2428.2245	2.42529345334e-07	1.18633564583e-06
2435.69596	2.04344697375e-07	1.18543561289e-06
2443.16742	2.2012433354e-07	1.18453610242e-06
2450.63888	1.9161120085e-07	1.18363711423e-06
2458.11034	2.20210304674e-07	1.18273864811e-06
2465.5818	1.75834024877e-07	1.18184070383e-06
2473.05326	2.7497152861e-07	1.1809432812e-06
2480.52472	1.98302148199e-07	1.18004638e-06
2487.99618	1.92330927982e-07	1.17915000003e-06
2495.46764	2.01407444157e-07	1.17825414107e-06
2502.9391	2.02857806024e-07	1.17735880291e-06
2510.41056	2.0134660221e-07	1.17646398534e-06
2517.88202	2.56433420966e-07	1.17556968816e-06
2525.35348	2.4974809881e-07	1.17467591115e-06
2532.82494	2.02142614109e-07	1.17378265411e-06
2540.2964	2.54546504928e-07	1.17288991682e-06
2547.76786	2.32036763352e-07	1.17199769908e-06
2555.23932	2.73632918087e-07	1.17110600067e-06
2562.71078	1.83383228024e-07	1.17021482139e-06
2570.18224	2.0066746365e-07	1.16932416102e-06
2577.6537	2.13512232537e-07	1.16843401936e-06
2585.12516	2.06970605071e-07	1.1675443962e-06
