Altitude(m)	Range Corrected Signal(m^-1 sr^-1)
3847.8019	4761992550.15
3855.27336	5062903200.56
3862.74482	5276516239.63
3870.21628	4847590813.96
3877.68774	5076835917.92
3885.1592	5141702066.55
3892.63066	5009971124.35
3900.10212	5637653577.99
3907.57358	4850010515.11
3915.04504	6340022587.56
3922.5165	6564264001.29
3929.98796	5307375691.86
3937.45942	5110524796.63
3944.93088	5939186920.46
3952.40234	5930462176.0
3959.8738	5576570363.06
3967.34526	6494804096.8
3974.81672	6945867205.04
3982.28818	7035438505.97
3989.75964	6345544475.58
3997.2311	6513133520.85
4004.70256	7531838279.67
4012.17402	7447285587.58
4019.64548	7119581949.46
4027.11694	7389338457.03
4034.5884	6147106109.9
4042.05986	6431306216.77
4049.53132	6635489557.29
4057.00278	6725834432.67
4064.47424	6370671245.12
4071.9457	5913272846.05
4079.41716	6001559415.68
4086.88862	6223995184.54
4094.36008	6950851771.52
4101.83154	6757517703.96
4109.303	6224907427.34
4116.77446	6569572839.69
4124.24592	7375873080.74
4131.71738	6600280305.37
4139.18884	5955990217.35
4146.6603	6888835350.13
4154.13176	7638468395.09
4161.60322	7094444544.3
4169.07468	7467564853.54
4176.54614	7738563829.59
4184.0176	6085699449.24
4191.48906	6160159237.68
4198.96052	6446609204.81
4206.43198	7725850255.48
4213.90344	7096311582.15
4221.3749	7264058164.7
4228.84636	6341987898.79
4236.31782	7405308089.69
4243.78928	6927179211.6
4251.26074	7746813745.76
4258.7322	6921637649.42
4266.20366	7928772059.32
4273.67512	7591281927.88
4281.14658	7856114882.07
4288.61804	7846775314.6
4296.0895	6748300326.55
4303.56096	7790428117.76
4311.03242	7891841698.48
4318.50388	7359735867.17
4325.97534	7722077238.4
4333.4468	7166632518.51
4340.91826	8265449914.72
4348.38972	7783397580.68
4355.86118	7070200091.83
4363.33264	7189668797.73
4370.8041	7080584532.4
4378.27556	8120785083.46
4385.74702	6936733775.78
4393.21848	8118410551.53
4400.68994	8184779817.75
4408.1614	7318728733.3
4415.63286	6154192381.22
4423.10432	6546749555.66
4430.57578	7236305692.28
4438.04724	7674353552.64
4445.5187	6356355594.55
4452.99016	6932954848.47
4460.46162	7433736543.93
4467.93308	6600276722.94
4475.40454	7583773482.22
4482.876	7126807812.45
4490.34746	6565850246.14
4497.81892	6486566300.02
4505.29038	6305157838.81
4512.76184	6794483255.71
4520.2333	6776135150.88
4527.70476	6819054220.82
4535.17622	6594764038.69
4542.64768	6265704963.66
4550.11914	5830853932.84
4557.5906	6057734920.84
4565.06206	6181811584.72
4572.53352	7435638910.86
4580.00498	6264300836.78
4587.47644	5379823259.28
4594.9479	6790855433.23
4602.41936	5393745784.8
4609.89082	7026355257.16
4617.36228	7837990855.75
4624.83374	6152250074.52
4632.3052	6794433452.92
4639.77666	6149015304.52
4647.24812	7680618897.62
4654.71958	6427016826.18
4662.19104	6099889458.23
4669.6625	5705146842.37
4677.13396	7429713319.67
4684.60542	6970667767.57
4692.07688	7301138679.99
4699.54834	5447120085.77
4707.0198	7037532303.51
4714.49126	7193249974.2
4721.96272	8018757114.31
4729.43418	7574434502.84
4736.90564	6117459116.15
4744.3771	7127173332.61
4751.84856	7939941063.86
4759.32002	7421302011.94
4766.79148	6853841266.3
4774.26294	7536357512.19
4781.7344	8245913458.73
4789.20586	6918448996.52
4796.67732	6548914332.62
4804.14878	5138381402.98
4811.62024	7099118258.92
4819.0917	8119799054.2
4826.56316	7912039123.88
4834.03462	8871269188.69
4841.50608	7070379032.94
4848.97754	7350856443.55
4856.449	6760314246.95
4863.92046	6662842603.4
4871.39192	7395241664.71
4878.86338	7632173622.33
4886.33484	7679443512.41
4893.8063	6792871079.81
4901.27776	7582349261.95
4908.74922	7581387981.13
4916.22068	6758561449.44
4923.69214	7457916639.5
4931.1636	7237404109.42
4938.63506	7064231321.77
4946.10652	7305797593.51
4953.57798	7745031051.84
4961.04944	8875952783.94
4968.5209	7174673717.74
4975.99236	6725818408.48
4983.46382	6299002815.14
4990.93528	6641727193.0
4998.40674	6586675278.23
5005.8782	8235204177.97
5013.34966	7681730701.6
5020.82112	8133191088.93
5028.29258	7803442857.37
5035.76404	8029521465.29
5043.2355	5179298267.05
5050.70696	7286446248.71
5058.17842	7026582868.69
5065.64988	6508479216.34
5073.12134	6501955868.53
5080.5928	6985745152.57
5088.06426	7601739721.44
5095.53572	7104791654.26
5103.00718	6656909814.43
5110.47864	6963704143.23
5117.9501	5281508875.84
5125.42156	6715517688.58
5132.89302	7657241404.01
5140.36448	5829915162.53
5147.83594	7198385864.9
5155.3074	6687752309.95
5162.77886	6973694001.77
5170.25032	6298874262.41
5177.72178	6558371480.58
5185.19324	6415995242.18
5192.6647	5302020262.42
5200.13616	4992791858.4
5207.60762	6444465655.83
5215.07908	5783044686.49
5222.55054	5199576133.82
5230.022	6965064288.23
5237.49346	5860293838.84
5244.96492	4006368898.95
5252.43638	4210907800.58
5259.90784	3780230056.36
5267.3793	3679995834.87
5274.85076	3662618892.87
5282.32222	3952031212.37
5289.79368	4466893348.55
5297.26514	3693812099.62
5304.7366	3141434620.19
5312.20806	3404265953.82
5319.67952	3498745652.82
5327.15098	3423444879.0
5334.62244	1981686518.66
5342.0939	2729228496.65
5349.56536	3108900084.88
5357.03682	2629726888.28
5364.50828	2665845313.6
5371.97974	2269261909.12
5379.4512	2536025028.01
5386.92266	1614468490.16
5394.39412	1909944889.75
5401.86558	3169985784.75
5409.33704	2622803210.68
5416.8085	3334257070.9
5424.27996	3284615738.68
5431.75142	2615080258.42
5439.22288	2178502191.71
5446.69434	2659154866.08
5454.1658	3707632579.27
5461.63726	3001889876.77
5469.10872	3129753200.25
5476.58018	3288274931.86
5484.05164	3146879040.8
5491.5231	3457027743.68
5498.99456	2952379021.22
5506.46602	3900363449.46
5513.93748	3120463893.05
5521.40894	3006982337.4
5528.8804	2526029524.39
5536.35186	4555839910.69
5543.82332	3830529223.82
5551.29478	3840861057.89
5558.76624	4407404684.9
5566.2377	3303872432.44
5573.70916	4120469920.1
5581.18062	4754515702.65
5588.65208	5204516299.2
5596.12354	4560792848.03
5603.595	3316968252.87
5611.06646	4553698004.3
5618.53792	7028134635.49
5626.00938	4451376424.42
5633.48084	4526679532.75
5640.9523	5747867630.87
5648.42376	4614534978.81
5655.89522	4274870159.09
5663.36668	5248383524.36
5670.83814	4812022963.61
5678.3096	3889658421.56
5685.78106	5193025349.44
5693.25252	4590832854.07
5700.72398	4570391936.68
5708.19544	3507124503.83
5715.6669	4300363821.19
5723.13836	4246105325.27
5730.60982	4585597887.82
5738.08128	4762190796.98
5745.55274	4576532151.7
5753.0242	4356761432.93
5760.49566	6292717039.05
5767.96712	5211159470.18
5775.43858	3556884087.54
5782.91004	4201491767.16
5790.3815	4815868670.8
5797.85296	4290463153.94
5805.32442	4773353256.3
5812.79588	5258688129.52
5820.26734	4764082617.33
5827.7388	4810284285.06
5835.21026	4890725611.34
5842.68172	5073942543.17
5850.15318	4368217538.71
5857.62464	3830394044.65
5865.0961	5216145780.28
5872.56756	5022521489.87
5880.03902	3583165499.69
5887.51048	4077556084.38
5894.98194	4991432892.09
5902.4534	4028602693.15
5909.92486	4283298625.33
5917.39632	4539244610.62
5924.86778	4129465887.59
5932.33924	4034309301.89
5939.8107	3656382826.62
5947.28216	4054658875.17
5954.75362	3249293773.99
5962.22508	3044163933.11
5969.69654	4370377437.88
5977.168	3416707394.71
5984.63946	2780568131.41
5992.11092	3756960825.6
5999.58238	2974445894.07
6007.05384	3559213973.85
6014.5253	4219214508.54
6021.99676	2779125740.85
6029.46822	3294988930.69
6036.93968	3485383213.34
6044.41114	3749760080.32
6051.8826	4125288751.18
6059.35406	3254302417.93
6066.82552	3004688169.25
6074.29698	2827608017.11
6081.76844	3722278056.95
6089.2399	3620192793.32
6096.71136	3071533811.16
6104.18282	3339894028.51
6111.65428	3236018073.24
6119.12574	3618371932.29
6126.5972	4002565332.33
6134.06866	3523185261.22
6141.54012	3795802761.61
6149.01158	3956285282.81
6156.48304	2563520939.23
6163.9545	2797712863.47
6171.42596	3071104796.85
6178.89742	3078545387.21
6186.36888	3966231658.25
6193.84034	3208544550.0
6201.3118	3177833709.55
6208.78326	2877103836.53
6216.25472	3772794363.6
6223.72618	3936808101.33
6231.19764	3247365062.64
6238.6691	2476737334.78
6246.14056	3419015717.54
6253.61202	3818276705.97
6261.08348	3239388380.8
6268.55494	3129239887.79
6276.0264	2782207218.33
6283.49786	3144176572.47
6290.96932	2795471596.28
6298.44078	3040137751.92
6305.91224	2291828639.21
6313.3837	2416839171.33
6320.85516	3381439924.43
6328.32662	3309343161.18
6335.79808	2835453995.93
6343.26954	3405464288.87
6350.741	3010172196.08
6358.21246	3381100911.69
6365.68392	2335481537.53
6373.15538	3397011952.83
6380.62684	3608543473.96
6388.0983	2923266745.15
6395.56976	4034498233.87
6403.04122	3715938642.76
6410.51268	3395858288.52
6417.98414	3280207093.75
6425.4556	2668551613.31
6432.92706	3047204110.43
6440.39852	4132733572.06
6447.86998	3560277461.04
6455.34144	3235161709.26
6462.8129	4078013854.92
6470.28436	2915240007.36
6477.75582	3467473716.5
6485.22728	2676371830.79
6492.69874	3609955150.86
6500.1702	2942232826.42
6507.64166	3287795667.06
6515.11312	3337796173.22
6522.58458	3941073593.1
6530.05604	3950107569.72
6537.5275	3830934091.17
6544.99896	2383237128.48
6552.47042	3333248524.15
6559.94188	3986346898.94
6567.41334	3175945145.34
6574.8848	3529008405.73
6582.35626	3753670506.13
6589.82772	3458215922.62
6597.29918	3770732622.82
6604.77064	3604786208.93
6612.2421	2957120262.91
6619.71356	1912112213.34
6627.18502	3717133762.42
6634.65648	3241314515.65
6642.12794	2983911702.65
6649.5994	4317143605.84
6657.07086	2687136582.3
6664.54232	4203319926.45
6672.01378	3411465871.52
6679.48524	3196032995.22
6686.9567	2934894616.59
6694.42816	3748133335.25
6701.89962	3846335290.07
6709.37108	3404759465.97
6716.84254	3908622382.12
6724.314	4233837498.88
6731.78546	2385256898.96
6739.25692	2980983114.93
6746.72838	3715889998.85
6754.19984	3131074854.38
6761.6713	4281010811.76
6769.14276	4153012954.98
6776.61422	3381503308.61
6784.08568	2560535143.0
6791.55714	2935180181.04
6799.0286	3126548935.13
6806.50006	3179752689.89
6813.97152	2954586278.15
6821.44298	3472922113.92
6828.91444	3060827343.87
6836.3859	2039332872.8
6843.85736	2324823168.2
6851.32882	3080953277.68
6858.80028	2052727469.79
6866.27174	3000115830.9
6873.7432	1919936522.62
6881.21466	2539677063.59
6888.68612	3019735064.72
6896.15758	2978732029.08
6903.62904	3747751485.55
6911.1005	2609548448.47
6918.57196	3668259800.5
6926.04342	3196486111.26
6933.51488	2866870841.04
6940.98634	2921230062.35
6948.4578	2589554964.1
6955.92926	2449972037.94
6963.40072	2794660609.46
6970.87218	2703474834.68
6978.34364	3683218769.62
6985.8151	2715077717.63
6993.28656	3405573272.95
7000.75802	3608896477.55
7008.22948	3616603675.52
7015.70094	4116519691.3
7023.1724	2941493426.65
7030.64386	3886924360.93
7038.11532	3498909475.74
7045.58678	2960298877.5
7053.05824	3563528243.51
7060.5297	3222124532.83
7068.00116	2729381048.13
7075.47262	3436026838.78
7082.94408	3041942551.92
7090.41554	3350007492.23
7097.887	3659351290.18
7105.35846	3616573123.47
7112.82992	2258189518.63
7120.30138	3834595549.91
7127.77284	3995062628.87
7135.2443	2730649631.32
7142.71576	3144518370.77
7150.18722	2997724769.87
7157.65868	3260153269.49
7165.13014	3318302077.18
7172.6016	3119441168.45
7180.07306	3074389939.88
7187.54452	2822487601.86
7195.01598	3242504648.95
7202.48744	3249242319.13
7209.9589	2632184894.15
7217.43036	2377186521.2
7224.90182	3165098874.52
7232.37328	3537799045.28
7239.84474	2234728526.52
7247.3162	3289815191.36
7254.78766	3401865699.9
7262.25912	3303395425.39
7269.73058	2358914343.07
7277.20204	2893342274.83
7284.6735	2740087075.26
7292.14496	3490165942.75
7299.61642	1685651990.18
7307.08788	4038419890.09
7314.55934	2869621516.18
7322.0308	2768262592.59
7329.50226	2720193387.11
7336.97372	3371716170.25
7344.44518	4079818080.78
7351.91664	3493565590.73
7359.3881	3121545789.45
7366.85956	2747992832.4
7374.33102	2916711954.93
7381.80248	3086098229.8
7389.27394	2327929382.68
7396.7454	2879757830.64
7404.21686	2227709333.74
7411.68832	3550602453.76
7419.15978	3337588807.19
7426.63124	2572146503.2
7434.1027	3737907993.6
7441.57416	4077687307.95
7449.04562	2809649090.65
7456.51708	2314891301.36
7463.98854	3378044059.84
7471.46	3161519437.5
7478.93146	3783124211.51
7486.40292	3230224390.01
7493.87438	3236675161.02
7501.34584	3637023692.6
7508.8173	2967684320.88
7516.28876	4442452613.37
7523.76022	2526652009.9
7531.23168	2815269931.42
7538.70314	2423034239.98
7546.1746	3338955480.38
7553.64606	3231455408.97
7561.11752	2265952694.22
7568.58898	2843268465.62
7576.06044	2332314570.91
7583.5319	3487116186.81
7591.00336	2629640756.35
7598.47482	3385398416.67
7605.94628	3507760144.8
7613.41774	2819085447.17
7620.8892	3289244822.77
7628.36066	3121121824.87
7635.83212	3068932739.5
7643.30358	2724420879.24
7650.77504	3432162123.12
7658.2465	2617786485.56
7665.71796	3680635026.44
7673.18942	1921478173.79
7680.66088	3636005915.0
7688.13234	2520043098.44
7695.6038	3117166699.85
7703.07526	2589186072.81
7710.54672	3248189015.96
7718.01818	3016215787.28
7725.48964	2843008764.12
7732.9611	2429919661.45
7740.43256	2075131649.44
7747.90402	3099649912.47
7755.37548	3165776753.47
7762.84694	2750046905.93
7770.3184	2030808918.74
7777.78986	2397680288.74
7785.26132	1129472825.35
7792.73278	1799635285.69
7800.20424	2289833312.1
7807.6757	1440784869.13
7815.14716	2420768073.62
7822.61862	2180625457.51
7830.09008	1878241367.1
7837.56154	1758972765.53
7845.033	1331516182.85
7852.50446	2012333701.12
7859.97592	1583710342.2
7867.44738	2391380096.98
7874.91884	2457938632.9
7882.3903	1841284097.2
7889.86176	1346776988.74
7897.33322	2097743374.31
7904.80468	1289397310.59
7912.27614	1917877023.68
7919.7476	1419721570.35
7927.21906	1359560751.82
7934.69052	1551002691.72
7942.16198	733911796.024
7949.63344	1556850010.54
7957.1049	1939670905.87
7964.57636	1308970424.52
7972.04782	1247873884.44
7979.51928	1122868557.22
7986.99074	1571516439.33
7994.4622	2085749383.18
8001.93366	2281742628.83
8009.40512	682241315.952
8016.87658	1326217848.89
8024.34804	1199910658.94
8031.8195	1976267663.46
8039.29096	1075123362.69
8046.76242	1271373818.19
8054.23388	1727830652.19
8061.70534	2250966505.67
8069.1768	2190029144.61
8076.64826	2585480114.43
8084.11972	1544617957.58
